Id,key,text,
281,CardNameHP,Medicina Dolor de Oro,
282,CardDescHP,Recuperar {0} salud,
283,CardNameStair,Entrada,
284,CardDescStair,Lleva más profundo,
285,CardNameDoor,Puerta,
286,CardDescDoor,Las puertas se usan para entrar,
287,CardNameKey,Llave,
288,CardDescKey,Abre una puerta,
289,CardNameLadder,Acantilado,
290,CardDescLadderRight,"Entra por la izquierda, de lo contrario puedes resultar herido",
291,CardDescLadderDown,"Entra por arriba, de lo contrario puedes resultar herido",
292,CardNameCamp,Camping,
293,CardDescCamp,Descansa en el campamento,
294,CardNameFinal,La meta,
295,CardDescFinal,Por fin hemos llegado,
296,CardNameThief,Ladrones cobardes,
297,CardDescThief,Siempre intentando robar algo a un transeúnte.,
298,CardNameRobber,Ladrones.,
299,CardDescRobber,Paga {0} monedas o sufre la misma cantidad de daño,
300,CardNameCollect,Ladrón con etiqueta de dios,
301,CardDescCollect,Paga {0} monedas o sufre la misma cantidad de daño,
302,DeveloperNoWrite,El autor se olvidó.,
303,DeveloperNoWriteDesc,Ve a decírselo al autor ahora.,
304,StageWindPlainKey,Usa buff para fortalecerte,
305,StageSunsetJungleKey,Los buff son un arma de doble filo. Úsalos con cuidado.,
306,StagePrimitiveforestsKey,Los diversos puntales esparcidos por ahí pueden ser de alguna utilidad.,
307,StageScarletMountainKey,A los acantilados hay que entrar desde cierta dirección o puedes caerte y hacerte daño.,
308,StageMistySwampKey,"Las nieblas cubren algunas zonas, así que acércate y echa un vistazo.",
309,StageMoonCanyonKey,"Esos ladrones no hacen daño a nadie, siempre intentan robar a todo el que pasa.",
310,StageTheDeathKey,"Si no tienes dinero, te van a dar una paliza.",
311,StageMirageRuinsKey,Tu cobardía es mi coraje.,
312,StageLavaPurgatoryKey,El fuego del infierno quema cada uno de tus pasos.,
313,StageEndlessPurgatoryKey,Da lo mejor de ti aunque no haya final a la vista.,
314,MonsterName_1_1,Cabra de cuernos negros,
315,MonsterName_1_2,Vaca,
316,MonsterName_1_3,Jabalí,
317,MonsterName_1_4,Lobo,
318,MonsterName_1_5,Perro del diablo,
319,MonsterName_1_6,Perro de caza,
320,MonsterName_1_7,Ciervo cimarrón,
321,MonsterName_1_8,Tigre dientes de sable,
322,MonsterName_1_9,Vajra,
323,MonsterName_1_10,Oso pardo,
324,MonsterName_1_11,Mamut,
325,MonsterName_1_12,Grifo,
326,MonsterName_2_1,Minero,
327,MonsterName_2_2,Esqueleto goblin,
328,MonsterName_2_3,Goblin arquero,
329,MonsterName_2_4,Ladrón,
330,MonsterName_2_5,Mago Goblin,
331,MonsterName_2_6,Guerrero Goblin,
332,MonsterName_2_7,Mago Goblin,
333,MonsterName_2_8,Guerrero Goblin,
334,MonsterName_2_9,Guerrero Goblin,
335,MonsterName_2_10,Caballero Goblin,
336,MonsterName_2_11,Berserker Goblin,
337,MonsterName_2_12,Goblin Antiguo,
338,MonsterName_3_1,Tocón de árbol,
339,MonsterName_3_2,Seta venenosa,
340,MonsterName_3_3,Lobo Verde,
341,MonsterName_3_4,Insectos,
342,MonsterName_3_5,Espíritu de la selva,
343,MonsterName_3_6,Guerrero de la selva,
344,MonsterName_3_7,Duende,
345,MonsterName_3_8,Gigante de ojos de piedra,
346,MonsterName_3_9,Ciervo medio humano,
347,MonsterName_3_10,Flor de piedra,
348,MonsterName_3_11,Ladrón de la selva,
349,MonsterName_3_12,Jefe de la selva,
350,MonsterName_4_1,Escarabajo mutado,
351,MonsterName_4_2,Ojo de carne,
352,MonsterName_4_3,Ojo de hueso,
353,MonsterName_4_4,Ojo de la muerte,
354,MonsterName_4_5,Cerebro mutante,
355,MonsterName_4_6,Gordo mutante,
356,MonsterName_4_7,Ojo de tentáculo,
357,MonsterName_4_8,Ojo de cuchilla,
358,MonsterName_4_9,Boca-Ojo,
359,MonsterName_4_10,Cabeza Toque,
360,MonsterName_4_11,Daga de Sangre,
361,MonsterName_4_12,Hueso de huesos,
362,MonsterName_5_1,Escarabajo,
363,MonsterName_5_2,Escarabajo,
364,MonsterName_5_3,Escarabajo gigante del pino,
365,MonsterName_5_4,Gusano explosivo,
366,MonsterName_5_5,Escorpión explosivo,
367,MonsterName_5_6,Canto de la cola,
368,MonsterName_5_7,Colmillo de pie,
369,MonsterName_5_8,Araña camuflada,
370,MonsterName_5_9,Escorpión de cola venenosa,
371,MonsterName_5_10,Tijeretas,
372,MonsterName_5_11,Mantis religiosa,
373,MonsterName_5_12,Bichos dragón,
374,MonsterName_6_1,Rana gigante de ojos claros,
375,MonsterName_6_2,Arquero de pico de pájaro,
376,MonsterName_6_3,Lobo de montaña,
377,MonsterName_6_4,Hombre lobo de montaña,
378,MonsterName_6_5,Guerrero de montaña,
379,MonsterName_6_6,Carnicero,
380,MonsterName_6_7,Orco con hacha gigante,
381,MonsterName_6_8,Troll,
382,MonsterName_6_9,Hombre Lobo Gigante con Cuernos,
383,MonsterName_6_10,Dragón Bestia,
384,MonsterName_6_11,Hacha-Lobo,
385,MonsterName_6_12,Flecha Roja,
386,MonsterName_7_1,Esqueleto Arquero,
387,MonsterName_7_2,Guerrero Esqueleto,
388,MonsterName_7_3,Esqueleto Mago,
389,MonsterName_7_4,Guerrero esqueleto,
390,MonsterName_7_5,Esqueleto Hechicero,
391,MonsterName_7_6,Mago Esqueleto,
392,MonsterName_7_7,Guerrero esqueleto,
393,MonsterName_7_8,Esqueleto lanzador,
394,MonsterName_7_9,Lobo esqueleto,
395,MonsterName_7_10,Caballero de la Muerte,
396,MonsterName_7_11,Hombre lobo esqueleto,
397,MonsterName_7_12,Dragón de hueso,
398,MonsterName_8_1,Bestia de los sueños,
399,MonsterName_8_2,Alabarda de los sueños,
400,MonsterName_8_3,Golondrina de los sueños,
401,MonsterName_8_4,Espíritu del sueño,
402,MonsterName_8_5,Insecto del sueño,
403,MonsterName_8_6,Tacto de ensueño,
404,MonsterName_8_7,Sueño Fuego,
405,MonsterName_8_8,Sueño Pluma,
406,MonsterName_8_9,Espada de los sueños,
407,MonsterName_8_10,Sueño Cangrejo,
408,MonsterName_8_11,Sueño pesadilla,
409,MonsterName_8_12,Hombre pájaro,
410,MonsterName_8_13,Sueño guerrero muerto,
411,MonsterName_8_14,Sueño Lengua,
412,MonsterName_8_15,Caballero de los sueños,
413,MonsterName_8_16,Guardián de los sueños,
414,MonsterName_8_17,Guerrero de los sueños,
415,MonsterName_9_1,Escarabajo de fuego,
416,MonsterName_9_2,Soldado de fuego,
417,MonsterName_9_3,Pico de fuego,
418,MonsterName_9_4,Pluma de fuego,
419,MonsterName_9_5,Bestia de tres cabezas,
420,MonsterName_9_6,Guadaña de fuego,
421,MonsterName_9_7,Chica de fuego,
422,MonsterName_9_8,Bestia de fuego,
423,MonsterName_9_9,Guerrero de fuego,
424,MonsterName_9_10,Gordo Rojo,
425,MonsterName_9_11,Fuego podrido,
426,MonsterName_9_12,Cazador de Fuego,
427,MonsterName_9_13,Espada Gigante Roja,
428,MonsterName_9_14,Demonio de fuego,
429,MonsterName_9_15,Caballero de Hueso de Fuego,
430,MonsterName_9_16,Cabeza de Fuego,
431,MonsterName_9_17,Espíritu de fuego,
432,TutorialStep_1,"Bienvenido a {0}, soy tu instructor y te enseñaré las reglas básicas de la supervivencia en mazmorras, así que si estás preparado, ¡manos a la obra!",
433,TutorialStep_2,"En primer lugar, estás en la esquina superior izquierda del tablero. Sí, ese eres tú.",
434,TutorialStep_3,"Tu objetivo es moverte hasta la esquina inferior derecha del nivel 50, el nivel actual se muestra en la parte superior derecha de la pantalla.",
435,TutorialStep_4,"Puedes moverte con la tecla de flecha derecha, flecha abajo, tecla D, tecla S de tu teclado o haciendo clic con el ratón en la tarjeta derecha o abajo del personaje héroe.",
436,TutorialStep_5,Puedes moverte con el joystick izquierdo del joystick o con las teclas de cruz.,
437,TutorialStep_6,Ahora da tu primer paso hacia abajo,
438,TutorialStep_7,¡Enhorabuena por tu primer paso!,
439,TutorialStep_8,"Cada movimiento interactúa con la carta en la posición objetivo, colocando el ratón sobre la carta se mostrará la descripción de la carta, ahora mira la carta del lado derecho del héroe.",
440,TutorialStep_9,"Cada movimiento interactúa con la carta objetivo, pulsa XX para abrir la vista de cartas, cambia de carta con las teclas de cruz, pulsa XX de nuevo para salir de la vista [WordCard], ahora ve la carta del lado derecho del héroe.",
441,TutorialStep_10,Muévete a la derecha para matar al enemigo,
442,TutorialStep_11,"El combate que acabas de librar ha dañado tu salud, coloca el ratón en la parte superior izquierda de la pantalla para ver la descripción de los atributos del héroe, aquí tienes una descripción detallada de la función de varios atributos",
443,TutorialStep_12,"El combate de este momento ha dañado tu salud, pulsa la tecla Y para abrir la vista de atributos, aquí hay una descripción detallada de la función de varios atributos, a través de las teclas de cruz para cambiar de atributos, pulsa la tecla Y de nuevo para salir de la vista de atributos, puedes ver otros atributos.",
444,TutorialStep_13,"Por supuesto, también puedes ver otros atributos.",
445,TutorialStep_14,"Hay una tarjeta de poción en su lado derecho, poción puede recuperar la salud, ahora se mueven a la derecha para ganar salud",
446,TutorialStep_15,"La salud está limitada a un máximo, Fortalece la defensa ganando armadura adicional después de que la salud alcance el máximo, ahora muévete hacia abajo para ganar armadura.",
447,TutorialStep_16,"Hay una carta de artefacto en tu lado inferior, mira la descripción de este artefacto, parece muy poderoso y cuesta 6 monedas comprarlo, desafortunadamente solo tienes 5 monedas",
448,TutorialStep_17,"Resulta que hay una carta de moneda con un valor nominal de 1 en tu lado derecho, ahora saquea esta carta",
449,TutorialStep_18,Muévete hacia abajo para comprar este artefacto.,
450,TutorialStep_19,"Los artefactos se colocan en una mochila en la esquina inferior izquierda de la pantalla, que contiene hasta 9 artefactos, cada uno de los cuales puede ser apilado.",
451,TutorialStep_20,Coloca el ratón sobre el artefacto recién comprado para ver las instrucciones,
452,TutorialStep_21,"Pulsa A para abrir la vista de mochila y ver los distintos artefactos que ya tienes, alterna los atributos con las teclas de cruz y vuelve a pulsar A para salir de la vista.",
453,TutorialStep_22,"Después de todos estos pasos, te habrás dado cuenta de que las flechas de la zona resaltada cambian cada vez que te mueves.",
454,TutorialStep_23,"Aquí es donde se muestran las habilidades que tienes, puedes tener hasta 5 habilidades, coloca el ratón sobre los iconos de la zona resaltada para ver la descripción.",
455,TutorialStep_24,"La habilidad se recarga al moverte correctamente y se activa automáticamente cuando está llena, si te mueves en la dirección equivocada, la carga suele desaparecer",
456,TutorialStep_25,"Da la casualidad de que tu habilidad está a punto de cargarse por completo, ¡ahora muévete hacia la derecha para activar tu habilidad!",
457,TutorialStep_26,"Tu poderosa habilidad ha infligido mucho daño al enemigo más cercano, ahora dale un golpe mortal.",
458,TutorialStep_27,"Hay una carta de buff a tu derecha que te otorgará temporalmente habilidades adicionales, revisa la descripción de esta carta",
459,TutorialStep_28,Muévete a la derecha para obtener este buff.,
460,TutorialStep_29,"Hay una carta de poción en tu lado inferior para recuperar salud, que no tiene efecto cuando estás lleno de salud, pero cuando posees un exoesqueleto buff, la salud sobrante se convierte en armadura.",
461,TutorialStep_30,Baja para saquear la poción y convertirla en armadura.,
462,TutorialStep_31,"Hay una escalera en la parte inferior que te llevará al siguiente piso, pasa por ella para marcar el final de mi tutorial y estarás solo el resto del camino. Hay muchos más misterios por descubrir, así que avanza y nunca mires atrás, ¡y buena suerte, guerrero!",
463,ClickContinue,Haz clic para continuar,
464,ReleaseOnly,Sólo versión de lanzamiento,
465,AddWishlistText,Añadir lista de deseos en Steam,
466,ArtifactText,Artefacto,
467,SkillText,Habilidad,
468,RankNoBody,Vacío y vacío,
469,TodayRank,Clasificación actual,
470,CostNum,Coste:{0},
471,CardNameRefresh,Reloj de bolsillo,
472,CardDescRefresh,Volver al principio,
473,CardNameBousStair,Entrada secreta,
474,CardDescBousStair,Lleva más profundo,
475,CardNameBousCamp,Campamento secreto,
476,CardDescBousCamp,Descanso en el campamento,
477,GameBousCamp,Campamento secreto,
478,CardNameBousFinal,La meta secreta,
479,CardDescBousFinal,Un logro oculto si aún no lo has desbloqueado,
480,DuringNum,Durante:{0},
481,CompleteStageTwoTip,Completa {0} para desbloquear,
482,UnlockHeroDesc,Héroes desbloqueados,
483,HeroDesc_1,Bueno en combate cuerpo a cuerpo,
484,HeroDesc_2,Un herrero que es hábil en la forja,
485,HeroDesc_3,Un cocinero al que le encanta cocinar,
486,HeroDesc_4,Un experto en todo tipo de magia,
487,HeroDesc_5,Un lego,
488,HeroDesc_6,Un alquimista misterioso,
489,UnlockHeroStage,Encuentra a este héroe en {0},
490,UnlockHeroHP,Desbloqueado cuando la armadura alcanza {0},
491,UnlockHeroArmor,Desbloqueado cuando la armadura alcanza {0},
492,UnlockHeroCoin,Desbloqueado en {0} monedas,
493,Thanks,Gratitud ,
494,GameName,Avanzar Con Valentía,
