Id,key,text,
310,StageTheDeathKey,"If you don't have money, you're going to get your ass kicked.",
311,StageMirageRuinsKey,Your cowardice is my courage.,
312,StageLavaPurgatoryKey,The fires of hell burn your every step.,
313,StageEndlessPurgatoryKey,Do your best even if there's no end in sight.,
314,MonsterName_1_1,Black horned goat,
315,MonsterName_1_2,Cow,
316,MonsterName_1_3,Wild boar,
317,MonsterName_1_4,Wolf,
318,MonsterName_1_5,Devil's Dogs,
319,MonsterName_1_6,Hound Dog,
320,MonsterName_1_7,Bighorn Deer,
321,MonsterName_1_8,Saber-toothed tiger,
322,MonsterName_1_9,Vajra,
323,MonsterName_1_10,Brown Bear,
324,MonsterName_1_11,Mammoth,
325,MonsterName_1_12,Griffin,
326,MonsterName_2_1,Miner,
327,MonsterName_2_2,Kobold Skeleton,
328,MonsterName_2_3,Kobold Archer,
329,MonsterName_2_4,Thief,
330,MonsterName_2_5,Kobold Mage,
331,MonsterName_2_6,Kobold Warrior,
332,MonsterName_2_7,Kobold Wizard,
333,MonsterName_2_8,Kobold Warrior,
334,MonsterName_2_9,Kobold Warrior,
335,MonsterName_2_10,Kobold Knight,
336,MonsterName_2_11,Kobold Berserker,
337,MonsterName_2_12,Ancient Kobold,
338,MonsterName_3_1,Tree Stump,
339,MonsterName_3_2,Poisonous Mushroom,
340,MonsterName_3_3,Green Wolf,
341,MonsterName_3_4,Insects,
342,MonsterName_3_5,Jungle Spirit,
343,MonsterName_3_6,Jungle Warrior,
344,MonsterName_3_7,Elf,
345,MonsterName_3_8,Stone-Eyed Giant,
346,MonsterName_3_9,Half Man Deer,
347,MonsterName_3_10,Stone Flower,
348,MonsterName_3_11,Jungle Thief,
349,MonsterName_3_12,Jungle Chieftain,
350,MonsterName_4_1,Mutant Beetle,
351,MonsterName_4_2,Flesh Eye,
352,MonsterName_4_3,Bone Eye,
353,MonsterName_4_4,Eye of Death,
354,MonsterName_4_5,Mutant Brain,
355,MonsterName_4_6,Mutant Fat Man,
356,MonsterName_4_7,Tentacle Eye,
357,MonsterName_4_8,Blade Eye,
358,MonsterName_4_9,Mouth Eye,
359,MonsterName_4_10,Head Touch,
360,MonsterName_4_11,Blood Dagger,
361,MonsterName_4_12,Bone of Bones,
362,MonsterName_5_1,Bugs,
363,MonsterName_5_2,Beetle,
364,MonsterName_5_3,Giant Jaw Beetle,
365,MonsterName_5_4,Burst Worm,
366,MonsterName_5_5,Exploding Scorpion,
367,MonsterName_5_6,Tailed Song,
368,MonsterName_5_7,Foot Tooth,
369,MonsterName_5_8,Cloaked Spider,
370,MonsterName_5_9,Poison Tail Scorpion,
371,MonsterName_5_10,Earwigs,
372,MonsterName_5_11,Bursting Mantis,
373,MonsterName_5_12,Dragon Bugs,
374,MonsterName_6_1,Giant Eyed Light Frog,
375,MonsterName_6_2,Bird's Beak Archer,
376,MonsterName_6_3,Mountain Wolf,
377,MonsterName_6_4,Mountain Werewolf,
378,MonsterName_6_5,Mountain Warrior,
379,MonsterName_6_6,Butcher,
380,MonsterName_6_7,Giant Axe Orc,
381,MonsterName_6_8,Troll,
382,MonsterName_6_9,Giant Horned Werewolf,
383,MonsterName_6_10,Beast Dragon,
384,MonsterName_6_11,Axe Wolf,
385,MonsterName_6_12,Red Arrow,
386,MonsterName_7_1,Skeleton Archer,
387,MonsterName_7_2,Skeleton Warrior,
388,MonsterName_7_3,Skeleton Warlock,
389,MonsterName_7_4,Skeleton Warrior,
390,MonsterName_7_5,Skeleton Witch,
391,MonsterName_7_6,Skeleton Mage,
392,MonsterName_7_7,Skeleton Warrior,
393,MonsterName_7_8,Skeleton Thrower,
394,MonsterName_7_9,Skeleton Wolf,
395,MonsterName_7_10,Death Knight,
396,MonsterName_7_11,Skeleton Werewolf,
397,MonsterName_7_12,Bone Dragon,
398,MonsterName_8_1,Dream Beast,
399,MonsterName_8_2,Dream Halberd,
400,MonsterName_8_3,Dream Swallow,
401,MonsterName_8_4,Dream Spirit,
402,MonsterName_8_5,Dream Insect,
403,MonsterName_8_6,Dream Touch,
404,MonsterName_8_7,Dream Fire,
405,MonsterName_8_8,Dream Feather,
406,MonsterName_8_9,Dream Sword,
407,MonsterName_8_10,Dream Crab,
408,MonsterName_8_11,Dream Nightmare,
409,MonsterName_8_12,Dream Birdman,
410,MonsterName_8_13,Dead Dream Warrior,
411,MonsterName_8_14,Tongue Dream,
412,MonsterName_8_15,Dream Knight,
413,MonsterName_8_16,Dream Keeper,
414,MonsterName_8_17,Dream Warrior,
415,MonsterName_9_1,Fire Beetle,
416,MonsterName_9_2,Fire Soldier,
417,MonsterName_9_3,Fire Beak,
418,MonsterName_9_4,Fire Feather,
419,MonsterName_9_5,Three-headed Beast,
420,MonsterName_9_6,Fire Scythe,
421,MonsterName_9_7,Fire Maiden,
422,MonsterName_9_8,Fire Beast,
423,MonsterName_9_9,Fire Warrior,
424,MonsterName_9_10,Red Fatty,
425,MonsterName_9_11,Rotting Fire,
426,MonsterName_9_12,Fire Butcher,
427,MonsterName_9_13,Red Giant Sword,
428,MonsterName_9_14,Fire Demon,
429,MonsterName_9_15,Fire Bone Knight,
430,MonsterName_9_16,Fire Head,
431,MonsterName_9_17,Fire Spirit,
432,TutorialStep_1,"Welcome to {0}, I'm your instructor and will be teaching you the basic rules of dungeon survival, so if you're ready, let's get on with it!",
433,TutorialStep_2,"First of all, you're in the upper left corner of the board. Yes, that's you.",
434,TutorialStep_3,"Your goal is to move to the bottom right corner of the 50th level, the current level is displayed on the top right of the screen.",
435,TutorialStep_4,"You can move by using the right arrow key, down arrow key, D key, S key on your keyboard, controller's cross keys, or by clicking on the right side or down side card of the hero character with your mouse.",
436,TutorialStep_5,You can move with the left joystick of the joystick or the cross keys.,
437,TutorialStep_6,Now take your first step down,
438,TutorialStep_7,Congratulations on your first step!,
439,TutorialStep_8,"Each move interacts with the card in the target position, placing the mouse over the card will display the card description (controller use <color=#ff0000>RT</color> to turn on the card view mode, cross key to toggle the card view, <color=#ff0000>RT</color> to turn off the view mode), now view the right side card of the hero.",
440,TutorialStep_9,"Every move interacts with the target card, press XX to open the card view, switch cards with the cross keys, press XX again to exit the [WordCard] view,  now view the right side card of the hero.",
441,TutorialStep_10,Move right to kill the enemy,
442,TutorialStep_11,"The fight just now has damaged your health, place the mouse on the top left of the screen to view the hero attribute description  (controller use <color=#ffff00>Y</color> key to open the attribute view mode, cross key to switch to view the card, use <color=#ffff00>Y</color> key to close the view mode), here is a detailed description of the role of various attributes",
443,TutorialStep_12,"The fight just now has damaged your health, press the Y key to open the attribute view, here is a detailed description of the role of various attributes, through the cross keys to switch attributes, press the Y key again to exit the attribute view, you can view other attributes.",
444,TutorialStep_13,"Of course, you can also view other attributes.",
445,TutorialStep_14,"There is a potion card on your right side, potion can recover health, now move to the right to gain health",
446,TutorialStep_15,"Health is limited to a maximum,Strengthen defense by gain additional armor after the health reache maximum, now move down to gain armor",
447,TutorialStep_16,"There's an artifact card on your down side, check out the description of this artifact (controller use <color=#ff0000>RT</color> key to open the deck view mode, cross key to switch to view the deck, use <color=#ff0000>RT</color> key to close the view mode), it looks very powerful and costs 6 coins to buy, unfortunately you only have 5 coins",
448,TutorialStep_17,"There happens to be a coin card with a face value of 1 on your right side, now loot this card",
449,TutorialStep_18,Move down to buy this artifact,
450,TutorialStep_19,"Artifacts are placed backpack in the left down corner of your screen,which holds up to 9 artifacts, each of which can be stacked",
451,TutorialStep_20,"Place your mouse over the just-bought artifact to view the instructions (controller use <color=#00ff00>A</color> key to turn on deck view mode, cross key to toggle view deck, use <color=#00ff00>A</color> key to turn off view mode)",
452,TutorialStep_21,"Press A to open the backpack view to see the various artifact you already have, toggle the attributes with the cross keys, and press A again to exit the view.",
453,TutorialStep_22,"After all these steps, you may have noticed that the arrows in the highlighted area change every time you move!",
454,TutorialStep_23,"This is where you display the skills you have, you can have up to 5 skills, place your mouse over the icons in the highlighted area to view the description (controller use <color=#0000ff>X</color> key to turn on the deck view mode, cross key to switch to view the deck, use <color=#0000ff>X</color> key to turn off the view mode)",
455,TutorialStep_24,"Skill recharges by moveing correctly and triggers automatically when full, if you move in the wrong direction, the charge will usually clear up",
456,TutorialStep_25,"It just so happens that your skill is about to be fully charged, now move to the right to trigger your skill!",
457,TutorialStep_26,"Your powerful skill have dealt a lot of damage to the nearest enemy, Now give it a fataly blow.",
458,TutorialStep_27,"There is a buff card on your right side that will temporarily grant you additional abilities, check the description of this card (controller use <color=#ff0000>RT</color> to turn on the card view mode, cross key to toggle the card view, <color=#ff0000>RT</color> to turn off the view mode)",
459,TutorialStep_28,Move right to gain this buff.,
460,TutorialStep_29,"There is a potion card on your down side for recover health, which has no effect when full health, but when in possession of a buff exoskeleton, the overflowed health is converted to armor",
461,TutorialStep_30,Move down to loot the potion and convert it to armor!,
462,TutorialStep_31,"There is stair on your down side that will lead you to the next floor, move past it to mark the end of my tutorial and you're on your own for the rest of the way. There are many more mysteries to discover, so go forth and never look back, and good luck, warrior!",
463,ClickContinue,Click to continue (Controller <color=#00ff00>A</color> keys),
464,ReleaseOnly,Release version only,
465,AddWishlistText,Add Wishlist on Steam,
466,ArtifactText,Artifact,
467,SkillText,Skill,
468,RankNoBody,Empty and empty,
469,TodayRank,Today's Ranking,
470,CostNum,Cost:{0},
471,CardNameRefresh,Pocket Watch,
472,CardDescRefresh,Back to the start,
473,CardNameBousStair,Secret Entrance,
474,CardDescBousStair,Leads deeper,
475,CardNameBousCamp,Secret Campsite,
476,CardDescBousCamp,Rest in the campsite,
477,GameBousCamp,Secret Campsite,
478,CardNameBousFinal,The Secret finish line,
479,CardDescBousFinal,A hidden achievement if you haven't unlocked it yet,
480,DuringNum,During:{0},
481,CompleteStageTwoTip,Complete {0} to unlock,
482,UnlockHeroDesc,Unlocked Heroes,
483,HeroDesc_1,Good at melee combat,
484,HeroDesc_2,A smith who is skilled in forging,
485,HeroDesc_3,A cook who loves to cook,
486,HeroDesc_4,An expert in all kinds of magic,
487,HeroDesc_5,A layman,
488,HeroDesc_6,A mysterious alchemist,
489,UnlockHeroStage,Find this hero at {0},
490,UnlockHeroHP,Unlocked when helath reaches {0},
491,UnlockHeroArmor,Unlocked when armor reaches {0},
492,UnlockHeroCoin,Unlocked at {0} coins,
493,Thanks,Gratitude ,
494,GameName,Forward Brave,
